numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,X60
07005,20200524150000,103320,40,1,260,6.4,289.35,282.750000,65,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,102450,mq,mq,560,mq,mq,mq,mq,283.250000,mq,mq,9.500000,10.600000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07015,20200524150000,103180,60,0,270,5.8,290.45,282.650000,60,33350,0,mq,mq,100,7,1250,mq,mq,mq,102610,mq,mq,570,mq,mq,mq,mq,280.250000,mq,mq,8.300000,9.600000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,5,mq,1020,7,mq,1320,8,mq,1620,mq,mq,mq,NA
07020,20200524150000,103440,0,0,270,3.1,288.05,284.450000,79,10000,1,0,mq,10,1,450,32,20,10,103330,mq,mq,560,mq,mq,mq,mq,mq,mq,mq,4.400000,5.000000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,1,8,500,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07027,20200524150000,103390,-20,8,340,3.6,291.95,283.750000,59,19950,0,mq,mq,mq,1,800,mq,mq,mq,102590,mq,mq,470,mq,mq,mq,mq,279.550000,mq,mq,6.500000,6.500000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,1,mq,870,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07037,20200524150000,103320,-10,8,290,4.1,291.85,282.650000,55,18450,0,mq,mq,mq,5,800,mq,mq,mq,101510,mq,mq,470,mq,mq,mq,mq,283.650000,mq,mq,7.500000,7.600000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,5,mq,990,5,mq,1200,mq,mq,mq,mq,mq,mq,NA
07072,20200524150000,103220,0,0,300,3.6,292.15,282.050000,52,20000,0,mq,mq,mq,3,1250,mq,mq,mq,102090,mq,mq,490,mq,mq,mq,mq,275.350000,mq,mq,7.000000,7.500000,-10,1,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.200000,mq,mq,mq,mq,3,mq,1350,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07110,20200524150000,103460,0,5,340,4.7,291.15,281.650000,54,10320,0,mq,mq,mq,0,mq,mq,mq,mq,102280,mq,mq,320,mq,mq,mq,mq,280.350000,mq,mq,7.600000,8.600000,-10,0,0.000000,mq,mq,0.000000,-0.100000,-0.100000,-0.100000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07117,20200524150000,103520,20,1,10,3.2,289.75,284.050000,69,13000,1,0,mq,10,1,800,31,20,10,102820,mq,mq,480,mq,mq,mq,mq,mq,mq,mq,4.900000,5.300000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,1,8,800,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07130,20200524150000,103380,-50,8,340,3.2,293.55,283.650000,53,35770,0,mq,mq,mq,2,1250,mq,mq,mq,102940,mq,mq,400,mq,mq,mq,mq,282.850000,mq,mq,6.700000,7.100000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,2,mq,1380,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07139,20200524150000,103300,-30,8,280,3.1,293.75,281.350000,45,19890,0,mq,mq,mq,1,1250,mq,mq,mq,101580,mq,mq,410,mq,mq,mq,mq,285.850000,mq,mq,4.800000,5.600000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,1,mq,1440,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07149,20200524150000,103280,-40,8,330,3.4,293.65,282.850000,50,19900,0,mq,mq,mq,5,1250,mq,mq,mq,102210,mq,mq,450,mq,mq,mq,mq,mq,mq,mq,6.800000,7.200000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,5,mq,1350,5,mq,1560,mq,mq,mq,mq,mq,mq,NA
07168,20200524150000,103270,-30,7,340,4.3,291.95,281.550000,51,20000,0,mq,mq,mq,5,1750,mq,mq,mq,101860,mq,mq,370,mq,mq,mq,mq,279.550000,mq,mq,5.800000,7.100000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,5,mq,1800,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07181,20200524150000,103220,20,3,310,5.3,289.75,280.150000,53,56460,0,mq,mq,100,8,1250,mq,mq,mq,99160,mq,mq,330,mq,mq,mq,mq,280.650000,mq,mq,9.400000,9.400000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,4.700000,mq,mq,mq,mq,8,mq,1440,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07190,20200524150000,103100,0,4,310,5.3,293.25,280.250000,43,20210,0,mq,mq,mq,0,mq,mq,mq,mq,101310,mq,mq,210,mq,mq,mq,mq,282.750000,mq,mq,8.100000,9.100000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07222,20200524150000,103290,-90,8,50,3.5,294.55,279.250000,37,57210,0,mq,mq,mq,0,mq,mq,mq,mq,102980,mq,mq,130,mq,mq,mq,mq,283.150000,mq,mq,7.100000,7.200000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.200000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07240,20200524150000,103260,-80,7,40,3,293.95,280.250000,41,34610,0,mq,mq,mq,1,1750,mq,mq,mq,101930,mq,mq,270,mq,mq,mq,mq,282.650000,mq,mq,6.200000,7.100000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,1,mq,1740,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07255,20200524150000,103210,-80,8,50,3.1,294.15,278.050000,35,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,101250,mq,mq,140,mq,mq,mq,mq,282.450000,mq,mq,5.600000,6.000000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07280,20200524150000,103100,-70,6,340,3,293.65,278.050000,36,56630,0,mq,mq,mq,0,mq,mq,mq,mq,100430,mq,mq,80,mq,mq,mq,mq,287.350000,mq,mq,4.900000,7.200000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07299,20200524150000,103050,-40,6,260,5.1,293.05,281.050000,46,18290,0,mq,mq,mq,1,1750,mq,mq,mq,99850,mq,mq,100,mq,mq,mq,mq,285.350000,mq,mq,7.700000,9.100000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.600000,mq,mq,mq,mq,1,mq,1740,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07314,20200524150000,103290,-110,8,320,7.1,289.65,284.750000,73,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,103010,mq,mq,-50,mq,mq,mq,mq,mq,mq,mq,9.300000,9.800000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07335,20200524150000,103240,-80,7,10,2.6,293.35,281.050000,45,50470,0,mq,mq,mq,0,mq,mq,mq,mq,101820,mq,mq,150,mq,mq,mq,mq,285.350000,mq,mq,5.300000,7.700000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07434,20200524150000,103070,-90,6,60,4.2,292.35,279.450000,43,19140,0,mq,mq,mq,3,1750,mq,mq,mq,98370,mq,mq,-40,mq,mq,mq,mq,285.450000,mq,mq,7.000000,9.500000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,3,mq,1560,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07460,20200524150000,103070,-60,6,20,4.4,292.95,280.350000,44,34060,0,mq,mq,mq,5,1750,mq,mq,mq,99260,mq,mq,10,mq,mq,mq,mq,284.350000,mq,mq,8.500000,8.500000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,5,mq,1740,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07471,20200524150000,mq,-70,7,30,5.4,290.05,278.650000,47,20000,0,mq,mq,mq,0,mq,mq,mq,mq,93350,mq,911,30,mq,mq,mq,mq,276.850000,mq,mq,9.700000,11.100000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07481,20200524150000,102970,-90,6,350,8.1,293.45,280.150000,42,13870,0,mq,mq,mq,1,7440,mq,mq,mq,100150,mq,mq,-70,mq,mq,mq,mq,mq,mq,mq,12.400000,13.900000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.200000,0.800000,mq,mq,mq,mq,1,mq,7440,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07510,20200524150000,103060,-170,6,70,4.2,295.55,278.450000,33,31910,0,mq,mq,mq,5,6840,mq,mq,mq,102490,mq,mq,-240,mq,mq,mq,mq,283.850000,mq,mq,7.200000,9.000000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,5,mq,6840,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07535,20200524150000,102930,-160,8,20,2.7,295.15,280.950000,40,20000,0,mq,mq,mq,0,mq,mq,mq,mq,99890,mq,mq,-250,mq,mq,mq,mq,283.550000,mq,mq,5.300000,5.300000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07558,20200524150000,102580,-80,8,340,6,293.15,279.150000,40,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,94500,mq,mq,-90,mq,mq,mq,mq,281.750000,mq,mq,10.200000,11.600000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07577,20200524150000,102650,-100,8,10,8.6,295.25,279.850000,37,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,101780,mq,mq,-250,mq,mq,mq,mq,284.850000,mq,mq,15.400000,18.500000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07591,20200524150000,mq,-50,7,200,5.3,294.55,281.150000,42,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,92350,mq,860,70,mq,mq,mq,mq,284.750000,mq,mq,10.300000,10.800000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,6.300000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07607,20200524150000,102970,-180,7,110,3.1,295.05,282.950000,46,52770,0,mq,mq,90,7,6540,mq,mq,mq,102270,mq,mq,-380,mq,mq,mq,mq,286.350000,mq,mq,5.900000,8.000000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,7,mq,6540,7,mq,7380,mq,mq,mq,mq,mq,mq,NA
07621,20200524150000,102850,-160,8,60,3.2,293.15,284.150000,56,29540,0,mq,mq,100,1,1250,mq,mq,mq,98620,mq,mq,-320,mq,mq,mq,mq,287.250000,mq,mq,6.000000,7.700000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,-0.100000,mq,mq,mq,mq,1,mq,1170,8,mq,6120,mq,mq,mq,mq,mq,mq,NA
07627,20200524150000,102870,-180,7,310,1.4,293.75,283.250000,51,19440,0,mq,mq,mq,2,1250,mq,mq,mq,98070,mq,mq,-270,mq,mq,mq,mq,288.350000,mq,mq,2.300000,3.800000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,1.200000,mq,mq,mq,mq,2,mq,1170,4,mq,6600,mq,mq,mq,mq,mq,mq,NA
07630,20200524150000,102910,-190,8,320,3.4,295.65,282.050000,42,22350,0,mq,mq,mq,1,7320,mq,mq,mq,101150,mq,mq,-220,mq,mq,mq,mq,282.950000,mq,mq,8.100000,8.700000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,-0.100000,mq,mq,mq,mq,1,mq,7320,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07643,20200524150000,102500,-150,8,10,5.5,299.95,281.850000,32,54050,0,mq,mq,mq,0,mq,mq,mq,mq,102410,mq,mq,20,mq,mq,mq,mq,285.850000,mq,mq,8.500000,10.400000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07650,20200524150000,102370,-100,7,300,7,299.85,284.350000,38,14420,0,mq,mq,mq,0,mq,mq,mq,mq,102000,mq,mq,20,mq,mq,mq,mq,288.450000,mq,mq,9.200000,11.100000,-10,2,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07661,20200524150000,mq,mq,mq,240,4.7,NA,mq,mq,40000,2,0,mq,10,1,800,31,20,12,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,6.100000,6.700000,-10,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,1,8,900,1,0,7000,mq,mq,mq,mq,mq,mq,NA
07690,20200524150000,102330,-30,7,140,1.3,296.45,289.950000,67,19660,0,mq,mq,mq,0,mq,mq,mq,mq,102030,mq,mq,170,mq,mq,mq,mq,292.650000,mq,mq,1.800000,2.900000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07747,20200524150000,102670,-140,7,320,5.2,297.55,279.350000,31,60000,0,mq,mq,mq,0,mq,mq,mq,mq,102160,mq,mq,-20,mq,mq,mq,mq,290.350000,mq,mq,9.200000,10.400000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07761,20200524150000,102320,-50,6,230,3.9,294.45,288.050000,67,29600,0,mq,mq,mq,0,mq,mq,mq,mq,102210,mq,mq,-240,mq,mq,mq,mq,288.450000,mq,mq,5.800000,6.600000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07790,20200524150000,102260,-90,6,100,2.4,297.05,289.850000,64,41670,0,mq,mq,mq,0,mq,mq,mq,mq,102120,mq,mq,-140,mq,mq,mq,mq,291.350000,mq,mq,4.800000,4.800000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61968,20200524150000,101410,110,3,90,2,300.65,294.650000,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101360,mq,mq,-110,mq,298.850000,mq,303.850000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61972,20200524150000,101720,10,3,190,2.6,296.75,291.150000,71,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101650,mq,mq,-240,mq,292.150000,mq,300.250000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61976,20200524150000,101640,110,2,160,9.4,298.75,292.850000,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101550,mq,mq,-50,mq,297.850000,mq,301.650000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61980,20200524150000,101860,120,3,110,3,295.75,289.950000,70,31790,0,mq,mq,100,8,1750,mq,mq,mq,101710,mq,mq,-150,mq,mq,mq,mq,mq,mq,mq,4.200000,9.600000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,8,mq,1500,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61996,20200524150000,102250,50,8,290,8.9,285.85,279.250000,64,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101900,mq,mq,-180,mq,283.850000,mq,288.750000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.200000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61997,20200524150000,99640,770,6,10,13.2,276.25,231.050000,2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97860,mq,mq,-230,mq,275.450000,mq,284.450000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,3.800000,4.600000,4.600000,4.600000,4.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61998,20200524150000,mq,-140,8,290,13.9,278.35,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97870,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,21.100000,-10,mq,mq,mq,mq,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
67005,20200524150000,101470,50,3,180,6.1,299.95,295.550000,77,20000,0,mq,mq,mq,0,mq,mq,mq,mq,101390,mq,mq,-140,mq,mq,mq,mq,mq,mq,mq,8.400000,8.500000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
71805,20200524150000,102540,60,2,270,6.9,282.55,275.650000,62,35000,3,0,0,50,0,7500,30,20,11,102450,mq,mq,1100,mq,mq,mq,mq,277.550000,mq,mq,11.000000,11.400000,-10,0,0.000000,0.000000,-30,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,4,0,7500,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78890,20200524150000,101660,30,0,130,5.8,302.15,296.150000,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101340,mq,mq,-130,mq,299.950000,mq,303.850000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78894,20200524150000,101690,30,1,120,2.7,304.35,295.350000,59,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101180,mq,mq,-90,mq,299.150000,mq,306.050000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78897,20200524150000,101650,20,0,150,4.8,302.65,294.650000,62,59280,mq,mq,mq,mq,mq,mq,mq,mq,mq,101560,mq,mq,-130,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,-0.100000,1.600000,1.600000,1.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78922,20200524150000,101650,10,0,140,5.2,303.35,296.250000,66,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101210,mq,mq,-140,mq,299.450000,mq,304.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78925,20200524150000,101610,-20,8,90,4.8,302.35,297.250000,74,60000,0,mq,mq,100,7,800,mq,mq,mq,101520,mq,mq,-120,mq,mq,mq,mq,mq,mq,mq,8.200000,11.000000,-10,mq,mq,mq,mq,-0.100000,-0.100000,0.200000,0.200000,0.200000,mq,mq,mq,mq,1,mq,750,4,mq,1080,7,mq,1260,mq,mq,mq,NA
81405,20200524150000,101490,-20,8,290,0.7,300.55,298.150000,87,60000,61,mq,mq,mq,1,1250,mq,mq,mq,101400,mq,mq,-10,mq,mq,mq,mq,299.250000,mq,mq,1.400000,1.600000,-10,mq,mq,mq,mq,-0.100000,15.700000,15.900000,18.100000,40.900000,mq,mq,mq,mq,1,mq,1020,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
81415,20200524150000,101530,10,8,140,1.3,303.55,298.150000,73,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100330,mq,mq,20,mq,296.750000,mq,306.050000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
89642,20200524150000,98330,90,3,250,1.5,253.45,249.350000,67,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97760,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
